offrir;to offer
prouver;to prove
noter;to note
suivre;to follow
savoir;to know
devoir;to have to or to must
penser;to think
rester;to stay
plaire;to please
tuer;to kill
regarder;to look or to watch
partir;to leave
pendre;to hang down
trouver;to find
sortir;to go out
plier;to fold
rêver;to dream
illumier;to illuminate
tenir;to hold
donner;to give
mourir;to die
vivre;to live
espérer;to hope
rire;to laugh
souvenir;to remember
peiner;to labor or to struggle
oublier;to forget
travailler;to work
sembler;to seem
dormir;to sleep
apprendre;to learn
attraper;to catch
bouillir;to boil
ouvrir;to open
briser;to shatter
gagner;to win or to earn
battre;to beat
porter;to carry or to wear
jurer;to swear
coucher;to lie down
vendre;to sell
sentir;to feel or to smell
unir;to unite
chanter;to sing
jeter;to throw away
signifier;to mean
enchanter;to delight or to enchant
raconter;to tell
habiter;to live at
jeûner;to fast
apporter;to bring
livrer;to deliver
récupérer;to recuperate
fatiguer;to tire
fumer;to smoke
grandir;to grow
supplier;to beg
respirer;to breathe
surveiller;to monitor
sourire;to smile
souhaiter;to wish
soutenir;to support
supprimer;to delete
tirer;to shoot or to pull
tousser;to cough
verser;to pour
voler;to fly
