être;to be
organiser;to organize
fatiguer, lasser;to tire
accrocher;to hang, to hook
évoquer;to evoke
commettre;to commit
craquer;to crack
jouir;to enjoy
utiliser;to use
souffler;to blow
reculer;to recoil, to back off
contenir;to contain
signifier;to mean, to signify
remuer;to stir
participer;to participate
convenir;to suit, to be convenient
baiser;to kiss, to have sex (vulgar)
habiller;to dress
mentir;to lie
goûter;to taste, to snack
dépendre;to depend
dégager;to clear, to free up
détacher;to detach, to unfasten
achever;to complete, to conclude
justifier;to justify
accorder;to agree
signer;to sign
plonger;to dive, to plunge
calmer;to calm
clarifier;to clarify
déranger, gêner;to disturb
ranger;to tidy up, to arrange
libérer;to free, to release
insister;to insist
exiger;to require, to demand
exercer;to exercise, to practice
abattre;to knock down, to slaughter
piquer;to sting, to prick
obéir;to obey
récupérer;to recover, to retrieve
joindre;to join
examiner;to examine
efforcer;to strive, to make an effort
hocher;to nod
précipiter;to precipitate
inviter;to invite
grimper;to climb
désirer;to desire
transformer;to transform
accueillir;to welcome
réparer;to repair
raser;to shave
attacher;to attach
mériter;to merit
soumettre;to submit
pisser;to urinate
acquérir;to acquire
résoudre;to solve
intervenir;to intervene
affirmer;to affirm, to assert
réduire;to reduce
fabriquer;to manufacture
décrire;to describe
satisfaire;to satisfy
grandir;to grow up
pendre;to hang
distraire;to distract, to entertain
affronter;to confront
vaincre;to defeat, to conquer
révéler;to reveal
commander;to order
déposer;to deposit
confondre;to confuse
pleuvoir;to rain
méfier;to distrust
préciser;to specify
inscrire;to register
consulter;to consult
réaliser;to realize, to achieve
imiter;to imitate
dessiner;to draw
disposer;to dispose
essuyer;to wipe
consister;to consist
suspendre;to suspend
presser;to press, to hurry
mordre;to bite
envahir;to invade
pardonner;to forgive
gémir;to moan, to groan
étouffer;to suffocate
condamner;to condemn
provoquer;to provoke
persuader;to persuade
venger;to avenge
tarder;to delay, to take time
échanger;to exchange
parfaire;to perfect
dédier;to dedicate
consacrer;to devote
moquer;to mock
creuser;to dig
reprocher;to reproach
réclamer;to demand, to claim
désigner;to designate
vomir;to vomit
coiffer;to style hair
réserver;to reserve, to book
rougir;to blush, to redden
noyer;to drown
guérir;to cure, to heal
survivre;to survive
ravir;to delight
étudier;to study
envier;to envy
entreprendre;to undertake
destiner;to destine
défiler;to parade, to march
apprécier;to appreciate
percer;to pierce
exécuter;to execute, to perform
déplacer;to move from one place to another
trahir;to betray
traduire;to translate
supplier;to beg
avertir, prévenir;to warn
nettoyer;to clean
employer;to employ, to use
inspirer;to inspire
embarquer;to embark, to board
verser;to pour
ralentir;to slow down
plier;to fold, to bend
nier;to deny
lier;to tie, to bind
communiquer;to communicate
appliquer;to apply
habituer;to accustom, to get used to
épuiser;to exhaust, to deplete
cracher;to spit
ficher;to file
exposer;to expose
étaler;to spread out
baigner;to bathe
transporter;to transport
dominer;to dominate
sécher;to dry
repérer;to spot, to locate
indiquer;to indicate
respecter;to respect
procéder;to proceed
depourvoir;to deprive
défaire;to undo
chauffer;to heat, to warm up
menacer;to threaten
déchiffrer;to decipher
cueillir;to pick, to gather
soulager;to relieve
opposer;to oppose
rigoler;to laugh, to joke
manifester;to demonstrate in public
constituer;to constitute
aboutir;to lead to, to result in
user;to wear out, to use
procurer;to procure
préserver;to preserve
séduire;to seduce
incliner;to bow
fasciner;to fascinate
vieillir;to age, to grow old
repasser;to iron, to go over again
prolonger;to prolong, to extend
envisager;to consider, to envisage
nager;to swim
voyager;to travel
composer;to compose
adopter;to adopt
enterrer;to bury
décevoir;to disappoint
ordonner;to order, to command
protester;to protest
introduire;to introduce
frotter;to rub
déchirer;to tear, to rip
puer;to stink
publier;to publish
estimer;to estimate
contraindre;to constrain, to force
gratter;to scratch
apaiser;to appease, to calm
noter;to note, to mark
cuire;to cook
parier;to bet
opérer;to operate
mouiller;to wet, to moisten
déshabiller;to undress
conseiller;to advise
troubler;to disturb
renvoyer;to send back
punir;to punish
ménager;to economize, to manage, to spare
identifier;to identify
bouleverser;to upset, to overturn
agacer;to irritate
orner;to adorn, to decorate
douer;to endow
vibrer;to vibrate
armer;to arm
siffler;to whistle
maîtriser;to master
immobiliser;to immobilize
évanouir;to faint
accroupir;to crouch, to squat
tremper;to soak
empoigner;to grasp
comparer;to compare
border;to edge, to border
étirer;to stretch
réciter;to recite
réagir;to react
conquérir;to conquer
combler;to fill, to fulfill
louer;to rent
